ano,mes,id_sh4,id_pais,sigla_uf,id_municipio,peso_liquido_kg,valor_fob_dolar
2003,1,402,199,SP,3503208,19112,20679
2003,1,2009,611,SP,3503208,18550,22055
2003,1,402,297,SP,3503208,38224,27347
2003,1,8515,427,SP,3503208,230,808
2003,1,402,337,SP,3503208,19112,13316
2003,1,2009,87,SP,3503208,2199426,2034469
2003,1,402,88,SP,3503208,37465,26103
2003,1,1806,341,SP,3503208,12480,11493
2003,1,8414,427,SP,3503208,3325,31228
2003,1,402,73,SP,3503208,16116,11229
2003,1,402,341,SP,3503208,26696,18522
2000,8,2009,47,SP,3503208,17930,18951
2000,8,2009,383,SP,3503208,90780,90780
2000,8,8421,391,SP,3503208,6,1517
2000,8,805,467,SP,3503208,129600,28368
2000,8,2009,611,SP,3503208,37100,45668
2000,8,7320,391,SP,3503208,1,0
2002,2,2009,611,SP,3503208,37100,38620
2002,2,2101,337,SP,3503208,75,215
2002,2,8503,379,SP,3503208,100,31590
2002,2,2009,383,SP,3503208,188680,173586
2002,2,2101,391,SP,3503208,1200,3440
2002,2,2009,47,SP,3503208,18550,22312
2002,2,402,767,SP,3503208,220239,164947
2003,12,2009,87,SP,3503208,10486529,9575040
2003,12,402,485,SP,3503208,19208,16451
2003,12,402,83,SP,3503208,47552,40053
2003,12,402,820,SP,3503208,95558,67687
2003,12,6115,87,SP,3503208,1970,58708
2003,12,3301,754,SP,3503208,4152,13286
2003,12,402,474,SP,3503208,114670,100336
2003,12,2009,767,SP,3503208,2000000,1800000
2003,12,2009,47,SP,3503208,18550,18538
2003,12,402,345,SP,3503208,38224,32196
2003,12,402,77,SP,3503208,57336,48294
2003,12,2101,831,SP,3503208,47040,136260
2003,12,402,337,SP,3503208,19112,16098
2003,12,402,73,SP,3503208,19112,16098
2003,12,402,88,SP,3503208,38224,32196
2002,9,6115,137,SP,3503208,41,1172
2002,9,402,88,SP,3503208,57336,43908
2002,9,402,820,SP,3503208,76447,49933
2002,9,2009,611,SP,3503208,63600,66154
2002,9,402,341,SP,3503208,38223,29272
2002,9,2009,87,SP,3503208,2194139,2029579
2002,9,2009,47,SP,3503208,18550,21384
2003,10,8474,341,SP,3503208,4,81
2003,10,9022,341,SP,3503208,14,263
2003,10,6115,199,SP,3503208,1074,16242
2003,10,402,337,SP,3503208,19112,16098
2003,10,9018,341,SP,3503208,13,838
